trip_id,origin_area,destination_area,route_1_name,route_1_dist_km,route_1_base_time_min,route_1_hotspot,route_1_clearance_delay_min,route_1_total_time_min,route_2_name,route_2_dist_km,route_2_base_time_min,route_2_hotspot,route_2_clearance_delay_min,route_2_total_time_min,recommended_route,time_saved_min,highlighted_heavy_traffic_area,actionable_recommendation
TRIP-001,Koramangala,Whitefield,via Marathahalli ORR,16.9,49.6,Marathahalli Multiplex,23.7,73.3,via Varthur Road,21,52.1,HAL Airport Road,16.6,68.7,via Varthur Road,4.6,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (4.6 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-002,Indiranagar,Electronic City,via Hosur Road Flyover,14,42.9,Silk Board Junction,20.7,63.6,via Bannerghatta Road,14.9,37,Madiwala Market,17.9,54.9,via Bannerghatta Road,8.7,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (8.7 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-003,Hebbal,MG Road,via Bellary Road,24.6,59.3,Mekhri Circle,13.6,72.9,via JC Nagar Main Rd,29.9,64.1,Cantonment Station,20.2,84.3,via Bellary Road,11.4,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (11.4 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-004,HSR Layout,Manyata Tech Park,via Outer Ring Road,18.8,46.8,Tin Factory,11.9,58.7,via Old Airport Rd & Suranjandas Rd,21.4,53.3,Kasturi Nagar,17.6,70.9,via Outer Ring Road,12.2,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (12.2 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-005,Jayanagar,ITPL,via Silk Board & ORR,17,45.3,Silk Board Junction,19.9,65.2,via Domlur & HAL,21.2,57,Domlur Flyover,13.6,70.6,via Silk Board & ORR,5.4,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (5.4 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-006,Banashankari,Rajajinagar,via West of Chord Rd,17.9,56.2,Kanankapura Signal,15.9,72.1,via Mysore Road & Magadi Rd,18.8,46.1,Town Hall,16.2,62.3,via Mysore Road & Magadi Rd,9.8,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (9.8 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-007,BTM Layout,Yelahanka,via Hebbal Expressway,13.3,35.1,Hebbal Flyover,27.1,62.2,via Outer Ring Road West,15.8,33.1,Goraguntepalya,15.8,48.9,via Outer Ring Road West,13.3,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (13.3 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-008,Marathahalli,Kengeri,via Mysore Road Expressway,23.8,68.1,Nayandahalli,13.7,81.8,via NICE Road,26.2,58.9,NICE Junction,19.4,78.3,via NICE Road,3.5,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (3.5 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-009,Koramangala,Whitefield,via Marathahalli ORR,19.1,60.5,Marathahalli Multiplex,27.6,88.1,via Varthur Road,20.8,54.5,HAL Airport Road,17.3,71.8,via Varthur Road,16.3,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (16.3 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-010,Indiranagar,Electronic City,via Hosur Road Flyover,24,57.5,Silk Board Junction,4.4,61.9,via Bannerghatta Road,25.6,52.1,Madiwala Market,19.1,71.2,via Hosur Road Flyover,9.3,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (9.3 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-011,Hebbal,MG Road,via Bellary Road,19,60.1,Mekhri Circle,4.3,64.4,via JC Nagar Main Rd,22.2,55.2,Cantonment Station,11.9,67.1,via Bellary Road,2.7,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (2.7 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-012,HSR Layout,Manyata Tech Park,via Outer Ring Road,14.1,37,Tin Factory,20.2,57.2,via Old Airport Rd & Suranjandas Rd,14.8,34.3,Kasturi Nagar,20.9,55.2,via Old Airport Rd & Suranjandas Rd,2,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (2.0 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-013,Jayanagar,ITPL,via Silk Board & ORR,22.6,66.2,Silk Board Junction,15.5,81.7,via Domlur & HAL,26.9,70.4,Domlur Flyover,4.3,74.7,via Domlur & HAL,7,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (7.0 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-014,Banashankari,Rajajinagar,via West of Chord Rd,23.9,63.3,Kanankapura Signal,16.1,79.4,via Mysore Road & Magadi Rd,29.2,60.6,Town Hall,28.5,89.1,via West of Chord Rd,9.7,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (9.7 mins faster). Heavy clearance delay at Town Hall.
TRIP-015,BTM Layout,Yelahanka,via Hebbal Expressway,21.5,66.4,Hebbal Flyover,25.2,91.6,via Outer Ring Road West,25.3,60.2,Goraguntepalya,20.7,80.9,via Outer Ring Road West,10.7,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (10.7 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-016,Marathahalli,Kengeri,via Mysore Road Expressway,21.9,65.1,Nayandahalli,20.7,85.8,via NICE Road,25.5,61.1,NICE Junction,11.9,73,via NICE Road,12.8,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (12.8 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-017,Koramangala,Whitefield,via Marathahalli ORR,13.4,32.2,Marathahalli Multiplex,18,50.2,via Varthur Road,15.2,41.3,HAL Airport Road,17,58.3,via Marathahalli ORR,8.1,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (8.1 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-018,Indiranagar,Electronic City,via Hosur Road Flyover,21,58.9,Silk Board Junction,13,71.9,via Bannerghatta Road,22.6,55,Madiwala Market,5.7,60.7,via Bannerghatta Road,11.2,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (11.2 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-019,Hebbal,MG Road,via Bellary Road,24.3,70.3,Mekhri Circle,17.6,87.9,via JC Nagar Main Rd,28.4,76.8,Cantonment Station,16.1,92.9,via Bellary Road,5,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (5.0 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-020,HSR Layout,Manyata Tech Park,via Outer Ring Road,20.2,60.7,Tin Factory,14.3,75,via Old Airport Rd & Suranjandas Rd,24.7,53.1,Kasturi Nagar,12.2,65.3,via Old Airport Rd & Suranjandas Rd,9.7,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (9.7 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-021,Jayanagar,ITPL,via Silk Board & ORR,16.2,41.4,Silk Board Junction,19.6,61,via Domlur & HAL,17.4,47.4,Domlur Flyover,10.5,57.9,via Domlur & HAL,3.1,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (3.1 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-022,Banashankari,Rajajinagar,via West of Chord Rd,20.4,52.1,Kanankapura Signal,20.7,72.8,via Mysore Road & Magadi Rd,21.4,48,Town Hall,16.1,64.1,via Mysore Road & Magadi Rd,8.7,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (8.7 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-023,BTM Layout,Yelahanka,via Hebbal Expressway,14.9,37.8,Hebbal Flyover,11.1,48.9,via Outer Ring Road West,16,44.1,Goraguntepalya,17,61.1,via Hebbal Expressway,12.2,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (12.2 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-024,Marathahalli,Kengeri,via Mysore Road Expressway,19.3,43.7,Nayandahalli,21,64.7,via NICE Road,21.8,48,NICE Junction,14.3,62.3,via NICE Road,2.4,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (2.4 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-025,Koramangala,Whitefield,via Marathahalli ORR,18.5,46,Marathahalli Multiplex,20.2,66.2,via Varthur Road,20.5,41.6,HAL Airport Road,20.1,61.7,via Varthur Road,4.5,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (4.5 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-026,Indiranagar,Electronic City,via Hosur Road Flyover,18.5,45.9,Silk Board Junction,15.1,61,via Bannerghatta Road,19.6,53.4,Madiwala Market,11.9,65.3,via Hosur Road Flyover,4.3,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (4.3 mins faster). Heavy clearance delay at Madiwala Market.
